Company,Sub_segment,HQ_Region,CDP Score,CDP_Score_Numeric,SBTi_Near_Term_Status,SBTi_Near_Term_Numeric,SBTi_Net_Zero_Status,Has_Net_Zero_Target,SBTi_Net_Zero_Year,SBTi_Near_Term_Target_Year,Remake_2021_Score_out_of_150,Overall_Disclosure_Score_pct,Carbon_Emissions_Score_pct,Energy_Renewables_Score_pct,Supply_Chain_Score_pct,Social_Workers_Score_pct,Governance_Strategy_Score_pct,Materials_Products_Score_pct,Commitment on State-Imposed Forced Labour in Supply Chain (Renewable Energy),Commitment to Degrowth,Decarbonisation Commitment,Decarbonisation Progress,Discloses 24/7 Hourly Matching of Electricity Consumption (Supply Chain),Discloses Affected Stakeholder Engagement on Climate Strategy,Discloses Annual Renewable Energy Investment,Discloses Approach to Living Wage,Discloses Carbon Emissions,Discloses Carbon Pricing,Discloses Climate-Related Risk Process,"Discloses Commitment to Freedom of Association, Right to Organize and Collective Bargaining in the Supply Chain","Discloses Content of Scope 1, 2 and 3 Emissions",Discloses Details on Climate-Related Risks,Discloses Efforts to Compensate Workers Impacted by Climate Crisis,Discloses Efforts to Upskill Supply Chain Workers,Discloses Energy Efficiency Investments (Supply Chain),Discloses Evidence of Renewable Energy Advocacy (Supply Chain),Discloses Living Wage Estimates Used for Benchmarking,Discloses Outcome of Renewable Energy Advocacy (Supply Chain),Discloses Percentage of Workers Paid By Piece Rate,Discloses Percentage of Workers Receiving Wage Payments Digitally,Discloses Progress on Electrify Manufacturing Processes Target,Discloses Progress on Fossil Fuel Phase-Out Target,Discloses Progress on Renewable Energy Target (Supply Chain),Discloses Progress on Sustainable Materials Strategy,Discloses Progress toward the payment of a Living Wage to workers in the supply chain,Discloses Proportion of Workers Paid Minimum Wage,Discloses Quantity of Products Produced,Discloses Scale of Renewable Energy Support,Discloses Sourced Fibre Breakdown,Discloses Strategy to Achieving Living Wage,Discloses Supplier Engagement in Climate Adaptation Strategy,Discloses Supplier Engagement on Climate Target Setting,Discloses Support for Renewable Electricity,Discloses address of manufacturing facilities,Discloses address of processing facilities,Discloses address of raw material facilities,Discloses manufacturing facilities (specific location),Discloses name of parent company for each manufacturing facility,Discloses name of parent company for each processing facility,Discloses name of parent company of each raw material facility,Discloses number or % of Workers covered by Collective Bargaining Agreements,"Discloses number or % of supplier facilities that have independent, democratically elected trade unions",Discloses processing facilities (specific location),Discloses raw material facilities,"Discloses the specific raw material fiber, products or services (raw material facilities)",Discloses type of products or services (manufacturing facilities),Discloses type of products or services (processing facilities),Electricity Consumption Breakdown (Supply Chain),Electricity Consumption Matched to Renewable Energy Generation (Supply Chain),Electrify Manufacturing Processes Target,Energy Consumption Breakdown (Own Operations),Energy Consumption Breakdown (Supply Chain),Energy Consumption Breakdown by Country (Supply Chain),Energy Consumption Breakdown by Process (Supply Chain),Energy Procurement Type Breakdown (Own Operations),Energy Procurement Type Breakdown (Supply Chain),Executive Pay Linked to Carbon Reduction,Fossil Fuel Phase-Out Target,Just Transition Commitment,List of Manufacturing facilities contributed to Open Supply Hub,List of Processing facilities contributed to Open Supply Hub,List of raw material facilities contributed to Open Supply Hub,Percentage of Executive Pay Linked to Carbon Reduction,Publicly available list of manufacturing facilities in open data format,Publicly available list of processing facilities in open data format,Publicly available list of raw material facilities in open data format,Publishes Percentage of Workers Paid Above Minimum Wage,Publishes Percentage or Number of Workers Earning a Living Wage,RE100 Commitment,Renewable Electricity Target (Supply Chain),Renewable Energy Definition,Renewable Energy Target (Supply Chain),Reports on Minimum Wage Paid for Daily / Piece Rate Workers,Science Based Targets,Scope 3 Emissions Breakdown,Supplier Incentives to Improve Environmental Impacts,Sustainable Materials Strategy,Perf_Scope1_2_Emissions_tCO2e,Perf_Scope3_Emissions_tCO2e,Perf_Baseline_Year,Perf_Baseline_Emissions_tCO2e,Perf_Carbon_Reduction_Target_pct,Perf_Carbon_Target_Year,Perf_NetZero_Target_Year,Perf_Renewable_Energy_pct,Perf_Recycled_Materials_pct,Perf_Revenue_USD_M,Perf_Employees,Perf_Source_Report
Target,Value/Dept,North America,B,5.0,Targets set,3,Committed,0,,2030,1.0,23.1,27.3,21.7,24.3,6.7,33.3,0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,1,0,0,0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1,0,0,0,1,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,
Marks and Spencer Group plc,Mid-Market,Europe,B,5.0,Not Found,0,,0,,,31.0,21.8,36.4,13.0,16.2,13.3,33.3,50,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0.0,1.0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,,,,,,,,,,
Abercrombie & Fitch,Mid-Market,North America,B,5.0,Targets set,3,,0,,2030,-2.0,21.8,9.1,4.3,29.7,6.7,33.3,50,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,0,0.0,0.0,1,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Capri Holdings Ltd (formerly Michael Kors),Other Retail,North America,B,5.0,Targets set,3,Commitment removed,0,,FY2030,,20.5,45.5,17.4,8.1,6.7,83.3,25,0.0,0,1.0,1.0,0.0,1.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,
"Amazon.com, Inc.",Other Retail,North America,Not Disclosed,,Commitment removed,1,,0,,,2.0,20.5,9.1,21.7,18.9,6.7,33.3,50,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Salvatore Ferragamo SpA,Luxury,Europe,A,7.0,Targets set,3,Targets set,1,2050,2030,,20.5,54.5,13.0,8.1,6.7,66.7,75,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Nordstrom,Value/Dept,North America,Not Disclosed,,Targets set,3,,0,,FY2030,,19.2,27.3,4.3,18.9,6.7,33.3,50,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Columbia Sportswear,Sports/Active,North America,Not Disclosed,,Not Found,0,,0,,,,19.2,9.1,4.3,37.8,6.7,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,0,0.0,0.0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,
Burberry Group plc,Luxury,Europe,A,7.0,Targets set,3,Targets set,1,FY2040,FY2030,38.0,19.2,54.5,13.0,5.4,13.3,50.0,50,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,1430.0,275172.0,2016.0,,95.0,2027.0,2050.0,84.0,,3098.0,7299.0,"Burberry Annual Report 2025/26, pp.57-59. Scope1+2 (market-based)=1,430 tCO2e FY25/26, target 95% reduction by FY26/27 vs FY16/17 baseline (94.3% achieved; absolute FY16/17 baseline not tabulated, derived ~24,750 from disclosed % reduction). Scope3=275,172 tCO2e FY25/26 (non-FLAG+FLAG); separate FY18/19 baseline=353,407 (directly disclosed, distinct base year from Scope1+2). Scope3 targets: non-FLAG 46.2% by FY29/30 & 90% by FY49/50; FLAG 30.3% by FY29/30 & 72% by FY49/50 (vs FY18/19). Net-zero extended FY39/40->FY49/50 (=2050). Renewable energy 84% (electricity specifically 100%). No 'recycled materials % of total' disclosed - closest proxies are 86% certified/responsibly-sourced key raw materials and 90% recycled content in operational packaging (not a direct equivalent, left as Not disclosed for this field). Revenue=GBP2,420M converted @~1.28 GBP/USD - ESTIMATE, verify. Employees=7,299 (direct ops headcount, FY25/26)."
Macy's,Value/Dept,North America,B-,4.0,Targets set,3,Commitment removed,0,,FY2030,,17.9,9.1,8.7,18.9,6.7,33.3,50,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Ted Baker,Mid-Market,Europe,Not Disclosed,,Targets set,3,,0,,FY2031,,17.9,27.3,0.0,18.9,6.7,50.0,50,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Dick's Sporting Goods,Sports/Active,North America,Not Disclosed,,Not Found,0,,0,,,,17.9,9.1,0.0,29.7,6.7,33.3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,0,0.0,0.0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,
Boohoo.com,Fast Fashion,Europe,Not Disclosed,,Not Found,0,,0,,,13.0,17.9,27.3,0.0,16.2,13.3,33.3,50,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Otto Group,Other Retail,Europe,Not Disclosed,,Targets set,3,,0,,FY2031,,16.7,18.2,4.3,13.5,13.3,33.3,50,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,,
Louis Vuitton Malletier SA (LVMH),Luxury,Europe,Not Disclosed,,Targets set,3,Targets set,1,2050,2033,,16.7,27.3,21.7,10.8,6.7,33.3,50,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Aldi Nord,Other Retail,Europe,Not Disclosed,,Targets set,3,,0,,2030,,15.4,9.1,4.3,18.9,20.0,0.0,25,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,Owned and operated facilities,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,
Walmart,Value/Dept,North America,Not Disclosed,,Targets set,3,Commitment removed,0,,2030,-1.0,14.1,27.3,13.0,2.7,6.7,33.3,50,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
"Fossil Group, Inc.",Other Retail,North America,C,3.0,Targets set,3,Targets set,1,2040,2030,,12.8,9.1,17.4,13.5,6.7,33.3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,
Under Armour,Sports/Active,North America,Not Disclosed,,Targets set,3,Commitment removed,0,,2030,0.0,12.8,9.1,13.0,13.5,6.7,0.0,25,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1,0,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Carter's Inc,Mid-Market,North America,B,5.0,Targets set,3,,0,,2030,,12.8,9.1,4.3,10.8,6.7,33.3,50,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Children's Place Inc,Other,North America,C,3.0,Targets set,3,,0,,2030,-10.0,12.8,27.3,0.0,2.7,13.3,33.3,75,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Carrefour S.A.,Other Retail,Europe,A,7.0,Targets set,3,Commitment removed,0,,2035,,11.5,36.4,0.0,2.7,6.7,66.7,50,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Canada Goose,Other Retail,North America,A-,6.0,Targets set,3,Targets set,1,FY2050,FY2030,,10.3,9.1,17.4,5.4,6.7,0.0,50,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Anta Sports Products,Other Retail,Asia,A,7.0,Targets set,3,,0,,2030,,9.0,9.1,8.7,5.4,6.7,33.3,25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Costco Wholesale,Value/Dept,North America,C,3.0,Not Found,0,,0,,,,9.0,18.2,8.7,2.7,6.7,50.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,
Foot Locker Inc.,Sports/Active,North America,Not Disclosed,,Commitment removed,1,Commitment removed,0,,,,7.7,18.2,8.7,2.7,6.7,33.3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,
Burlington Stores Inc,Value/Dept,North America,B,5.0,Not Found,0,,0,,,,7.7,9.1,8.7,2.7,6.7,33.3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,
Gerry Weber,Mid-Market,Europe,Not Disclosed,,Not Found,0,,0,,,,7.7,9.1,0.0,2.7,20.0,0.0,50,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Sports Direct,Other Retail,Europe,Not Disclosed,,Not Found,0,,0,,,,5.1,9.1,0.0,2.7,0.0,33.3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,
Urban Outfitters,Fast Fashion,North America,Not Disclosed,,Not Found,0,,0,,,3.0,5.1,9.1,0.0,2.7,6.7,0.0,50,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Ross Stores,Value/Dept,North America,B,5.0,Not Found,0,,0,,,-13.0,5.1,9.1,4.3,0.0,0.0,33.3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,
